"Scenario","Region","Variable_class","Sub_variable_class_1","Sub_variable_class_2","Sector","Units","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050"
"FPS","ZAF","Capacity","Electricity generation","Coal","Power","GW",32.30527768,32.69359245,32.94272439,33.01207209,32.89086344,32.58488346,31.9769173,31.04591739,29.75021428,28.05257421,25.94382406,22.26165624,18.57992008,15.10467623,11.99599723,9.341222111,7.144817167,5.39111588,4.023919172,2.977247204,0,0,0,0,0,0,0,0,0,0,0
"FPS","SEAO","Capacity","Electricity generation","Coal","Power","GW",62.23500312,63.66598846,65.12168487,66.61393084,68.10040091,69.59157819,70.90387385,72.19418824,73.43966373,74.60088945,75.63244965,76.1384153,76.42894947,76.40309235,75.99845729,75.1617685,73.76268657,71.84181017,69.39515882,66.43305068,63.00557004,59.12936264,54.96321519,50.61273357,46.18580131,41.78441759,37.46057438,33.3298688,29.4489114,25.85791798,22.5791876
"FPS","KOR","Capacity","Electricity generation","Coal","Power","GW",33.43754378,33.34308434,33.19341688,32.9780372,32.65729616,32.21851469,31.63813997,30.9090129,29.99593459,28.86467262,27.50323911,25.00972734,22.31176403,19.52980328,16.76960638,14.13475706,11.68434558,9.502139739,7.618381556,6.034877401,4.730903879,3.674325369,2.833684025,2.171554216,1.654691486,0,0,0,0,0,0
"FPS","SSA","Capacity","Electricity generation","Coal","Power","GW",3.139637324,3.49227057,3.858276662,4.237631851,4.62844295,5.03040796,5.431390511,5.83562373,6.239327366,6.637609803,7.025394995,7.161976024,7.288987947,7.40526119,7.508454711,7.596636151,7.667463058,7.725119726,7.76750993,7.790922075,7.790301859,7.755949586,7.687395348,7.576793433,7.420620686,7.219742398,6.966351026,6.669662411,6.335356699,5.968721752,5.570952438
"FPS","GBR","Capacity","Electricity generation","Coal","Power","GW",7.239943875,6.879345934,5.766692399,3.495118159,1.349550684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FPS","USA","Capacity","Electricity generation","Coal","Power","GW",221.3483038,218.9909729,215.5532326,210.5799555,203.1371558,192.5475173,177.8817509,158.7211518,135.6296644,110.3246651,85.30973129,59.71741878,40.66999772,27.14760056,17.88524041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FPS","WEU","Capacity","Electricity generation","Coal","Power","GW",78.86672081,77.95115494,76.90384959,75.63312278,74.04230754,72.06892956,69.58977678,66.43117068,62.48354319,57.72269686,52.21387316,44.00410775,36.09684267,28.82585157,22.47446172,17.16482145,12.88422148,9.530569931,6.968061872,5.046922959,0,0,0,0,0,0,0,0,0,0,0
"FPS","WORLD","Capacity","Electricity generation","Coal","Power","GW",2214.228425,2231.528462,2245.005292,2252.500021,2254.108043,2248.741831,2223.6915,2190.790793,2150.187296,2103.280067,2052.0365,1943.745143,1837.901166,1734.391075,1632.179692,1518.808485,1417.617404,1312.432609,1202.887241,1088.571169,959.8672923,837.7239396,711.6994415,582.814241,452.165875,316.6948044,285.7629749,255.6750274,227.1013733,200.2629746,175.4771849
"FPS","AUS","Capacity","Electricity generation","Coal CCS","Power","GW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FPS","BRA","Capacity","Electricity generation","Coal CCS","Power","GW",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
